tconst,parentTconst,seasonNumber,episodeNumber,TV-show,primaryTitle_y,startYear,endYear,channel,averageRating,numVotes,episodeID
tt2310910,tt2193021,1,2,Arrow,Honor Thy Father,2012,\N,CW,8.3,5004,2
tt2310914,tt2193021,1,3,Arrow,Lone Gunmen,2012,\N,CW,8.5,4669,3
tt2319602,tt2193021,1,4,Arrow,An Innocent Man,2012,\N,CW,8.5,4406,4
tt2338426,tt2193021,1,5,Arrow,Damaged,2012,\N,CW,8.7,4337,5
tt2340185,tt2193021,1,1,Arrow,Pilot,2012,\N,CW,8.6,6622,1
tt2377368,tt2193021,1,6,Arrow,Legacies,2012,\N,CW,8.1,4112,6
tt2395358,tt2193021,1,7,Arrow,Muse of Fire,2012,\N,CW,8.4,4036,7
tt2423266,tt2193021,1,8,Arrow,Vendetta,2012,\N,CW,8.3,3925,8
tt2448164,tt2193021,1,9,Arrow,Year's End,2012,\N,CW,8.5,3725,9
tt2467064,tt2193021,1,10,Arrow,Burned,2013,\N,CW,8.0,3835,10
tt2496078,tt2193021,1,11,Arrow,Trust But Verify,2013,\N,CW,8.3,3660,11
tt2519404,tt2193021,1,12,Arrow,Vertigo,2013,\N,CW,8.5,3695,12
tt2527342,tt2193021,1,13,Arrow,Betrayal,2013,\N,CW,8.7,3791,13
tt2561472,tt2193021,1,14,Arrow,The Odyssey,2013,\N,CW,8.9,4033,14
tt2605292,tt2193021,1,15,Arrow,Dodger,2013,\N,CW,8.2,3612,15
tt2633630,tt2193021,1,16,Arrow,Dead to Rights,2013,\N,CW,8.8,3771,16
tt2654070,tt2193021,1,17,Arrow,The Huntress Returns,2013,\N,CW,8.3,3625,17
tt2698256,tt2193021,1,18,Arrow,Salvation,2013,\N,CW,8.5,3512,18
tt2702698,tt2193021,2,1,Arrow,City of Heroes,2013,\N,CW,8.8,4910,24
tt2712930,tt2193021,1,19,Arrow,Unfinished Business,2013,\N,CW,8.4,3451,19
tt2761428,tt2193021,1,21,Arrow,The Undertaking,2013,\N,CW,8.9,3751,21
tt2761432,tt2193021,1,20,Arrow,Home Invasion,2013,\N,CW,8.6,3508,20
tt2761434,tt2193021,1,22,Arrow,Darkness on the Edge of Town,2013,\N,CW,9.1,4248,22
tt2761440,tt2193021,1,23,Arrow,Sacrifice,2013,\N,CW,9.5,6467,23
tt3077106,tt2193021,2,2,Arrow,Identity,2013,\N,CW,8.6,3893,25
tt3126166,tt2193021,2,3,Arrow,Broken Dolls,2013,\N,CW,8.8,4011,26
tt3126168,tt2193021,2,4,Arrow,Crucible,2013,\N,CW,8.8,3890,27
tt3128398,tt2193021,2,5,Arrow,League of Assassins,2013,\N,CW,8.9,3917,28
tt3213782,tt2193021,2,6,Arrow,Keep Your Enemies Closer,2013,\N,CW,8.6,3611,29
tt3213864,tt2193021,2,7,Arrow,State v. Queen,2013,\N,CW,8.7,3730,30
tt3229412,tt2193021,2,8,Arrow,The Scientist,2013,\N,CW,9.1,4362,31
tt3229414,tt2193021,2,9,Arrow,Three Ghosts,2013,\N,CW,9.3,5131,32
tt3229416,tt2193021,2,10,Arrow,Blast Radius,2014,\N,CW,8.5,3424,33
tt3263824,tt2193021,2,12,Arrow,Tremors,2014,\N,CW,8.8,3477,35
tt3263826,tt2193021,2,11,Arrow,Blind Spot,2014,\N,CW,8.7,3441,34
tt3263832,tt2193021,2,13,Arrow,Heir to the Demon,2014,\N,CW,8.8,3748,36
tt3337656,tt2193021,2,14,Arrow,Time of Death,2014,\N,CW,8.9,3756,37
tt3337658,tt2193021,2,15,Arrow,The Promise,2014,\N,CW,9.2,4379,38
tt3337660,tt2193021,2,16,Arrow,Suicide Squad,2014,\N,CW,8.7,3572,39
tt3337662,tt2193021,2,17,Arrow,Birds of Prey,2014,\N,CW,8.4,3342,40
tt3337666,tt2193021,2,19,Arrow,The Man Under the Hood,2014,\N,CW,9.1,3885,42
tt3337668,tt2193021,2,20,Arrow,Seeing Red,2014,\N,CW,9.4,5524,43
