tconst,parentTconst,Season Number,Episode Number,TV-show,Episode Title,Season start year,endYear,channel,IMDB Rating,Number of votes,episodeID
tt3216414,tt3749900,1,1,Gotham,Pilot,2014,\N,Fox,8.1,8918,1
tt3975220,tt3749900,1,4,Gotham,Arkham,2014,\N,Fox,8.2,3903,4
tt3993356,tt3749900,1,3,Gotham,The Balloonman,2014,\N,Fox,7.9,4168,3
tt3993362,tt3749900,1,5,Gotham,Viper,2014,\N,Fox,8.0,3591,5
tt3993368,tt3749900,1,6,Gotham,Spirit of the Goat,2014,\N,Fox,8.4,3731,6
tt4017996,tt3749900,1,2,Gotham,Selina Kyle,2014,\N,Fox,8.1,4822,2
tt4033254,tt3749900,1,7,Gotham,Penguin's Umbrella,2014,\N,Fox,9.1,4860,7
tt4049582,tt3749900,1,8,Gotham,The Mask,2014,\N,Fox,8.1,3225,8
tt4069154,tt3749900,1,9,Gotham,Harvey Dent,2014,\N,Fox,7.9,3132,9
tt4120502,tt3749900,1,10,Gotham,Lovecraft,2014,\N,Fox,8.5,3254,10
tt4120506,tt3749900,1,11,Gotham,Rogues' Gallery,2015,\N,Fox,7.9,2903,11
tt4120512,tt3749900,1,12,Gotham,What the Little Bird Told Him,2015,\N,Fox,8.5,2979,12
tt4120516,tt3749900,1,13,Gotham,"Welcome Back, Jim Gordon",2015,\N,Fox,8.0,2713,13
tt4120520,tt3749900,1,14,Gotham,The Fearsome Dr. Crane,2015,\N,Fox,8.2,2677,14
tt4120524,tt3749900,1,15,Gotham,The Scarecrow,2015,\N,Fox,8.1,2744,15
tt4120532,tt3749900,1,16,Gotham,The Blind Fortune Teller,2015,\N,Fox,8.6,3158,16
tt4120538,tt3749900,1,17,Gotham,Red Hood,2015,\N,Fox,8.2,2714,17
tt4120542,tt3749900,1,18,Gotham,Everyone Has a Cobblepot,2015,\N,Fox,8.3,2524,18
tt4120544,tt3749900,1,19,Gotham,Beasts of Prey,2015,\N,Fox,8.3,2493,19
tt4120550,tt3749900,1,20,Gotham,Under the Knife,2015,\N,Fox,8.6,2531,20
tt4120554,tt3749900,1,21,Gotham,The Anvil or the Hammer,2015,\N,Fox,8.8,2599,21
tt4142526,tt3749900,1,22,Gotham,All Happy Families Are Alike,2015,\N,Fox,9.0,3471,22
tt4369190,tt3749900,2,1,Gotham,Rise of the Villains: Damned If You Do...,2015,\N,Fox,8.5,3048,23
tt4371142,tt3749900,2,2,Gotham,"Rise of the Villains: Knock, Knock",2015,\N,Fox,9.1,3442,24
tt4371144,tt3749900,2,3,Gotham,Rise of the Villains: The Last Laugh,2015,\N,Fox,9.1,3325,25
tt4371148,tt3749900,2,4,Gotham,Rise of the Villains: Strike Force,2015,\N,Fox,8.3,2329,26
tt4371152,tt3749900,2,5,Gotham,Rise of the Villains: Scarification,2015,\N,Fox,8.3,2209,27
tt4371154,tt3749900,2,6,Gotham,Rise of the Villains: By Fire,2015,\N,Fox,8.5,2289,28
tt4371156,tt3749900,2,7,Gotham,Rise of the Villains: Mommy's Little Monster,2015,\N,Fox,9.0,2749,29
tt4371158,tt3749900,2,9,Gotham,Rise of the Villains: A Bitter Pill to Swallow,2015,\N,Fox,8.6,2228,31
tt4371164,tt3749900,2,10,Gotham,Rise of the Villains: The Son of Gotham,2015,\N,Fox,9.1,2655,32
tt4371166,tt3749900,2,8,Gotham,Rise of the Villains: Tonight's the Night,2015,\N,Fox,8.6,2327,30
tt4371170,tt3749900,2,11,Gotham,Rise of the Villains: Worse Than a Crime,2015,\N,Fox,9.1,2766,33
tt4371172,tt3749900,2,12,Gotham,Wrath of the Villains: Mr. Freeze,2016,\N,Fox,8.4,1995,34
tt4371174,tt3749900,2,13,Gotham,Wrath of the Villains: A Dead Man Feels No Cold,2016,\N,Fox,8.4,1894,35
tt4371250,tt3749900,2,16,Gotham,Wrath of the Villains: Prisoners,2016,\N,Fox,8.5,1938,38
tt4371252,tt3749900,2,15,Gotham,Wrath of the Villains: Mad Grey Dawn,2016,\N,Fox,8.7,1991,37
tt4371254,tt3749900,2,14,Gotham,Wrath of the Villains: This Ball of Mud and Meanness,2016,\N,Fox,8.6,1947,36
tt4371256,tt3749900,2,17,Gotham,Wrath of the Villains: Into the Woods,2016,\N,Fox,9.2,2397,39
tt4371258,tt3749900,2,18,Gotham,Wrath of the Villains: Pinewood,2016,\N,Fox,8.5,1869,40
tt4371262,tt3749900,2,19,Gotham,Wrath of the Villains: Azrael,2016,\N,Fox,8.7,1966,41
tt4371264,tt3749900,2,20,Gotham,Wrath of the Villains: Unleashed,2016,\N,Fox,8.8,2025,42
tt4371270,tt3749900,2,21,Gotham,Wrath of the Villains: A Legion of Horribles,2016,\N,Fox,8.4,1771,43
tt4371272,tt3749900,2,22,Gotham,Wrath of the Villains: Transference,2016,\N,Fox,8.3,1887,44
