tconst,parentTconst,Season Number,Episode Number,TV-show,Episode Title,Season start year,endYear,channel,IMDB Rating,Number of votes,episodeID
tt1480055,tt0944947,1,1,Game of Thrones,Winter Is Coming,2011,\N,HBO,9.0,26758,1
tt1668746,tt0944947,1,2,Game of Thrones,The Kingsroad,2011,\N,HBO,8.8,20522,2
tt1829962,tt0944947,1,3,Game of Thrones,Lord Snow,2011,\N,HBO,8.7,19385,3
tt1829963,tt0944947,1,4,Game of Thrones,"Cripples, Bastards, and Broken Things",2011,\N,HBO,8.8,18504,4
tt1829964,tt0944947,1,5,Game of Thrones,The Wolf and the Lion,2011,\N,HBO,9.1,19448,5
tt1837862,tt0944947,1,6,Game of Thrones,A Golden Crown,2011,\N,HBO,9.2,19293,6
tt1837863,tt0944947,1,7,Game of Thrones,You Win or You Die,2011,\N,HBO,9.3,19718,7
tt1837864,tt0944947,1,8,Game of Thrones,The Pointy End,2011,\N,HBO,9.1,18053,8
tt1851397,tt0944947,1,10,Game of Thrones,Fire and Blood,2011,\N,HBO,9.5,22633,10
tt1851398,tt0944947,1,9,Game of Thrones,Baelor,2011,\N,HBO,9.6,25587,9
tt1971833,tt0944947,2,1,Game of Thrones,The North Remembers,2012,\N,HBO,8.9,18050,11
tt2069318,tt0944947,2,2,Game of Thrones,The Night Lands,2012,\N,HBO,8.6,16923,12
tt2069319,tt0944947,2,4,Game of Thrones,Garden of Bones,2012,\N,HBO,8.9,16098,14
tt2070135,tt0944947,2,3,Game of Thrones,What Is Dead May Never Die,2012,\N,HBO,8.9,16759,13
tt2074658,tt0944947,2,5,Game of Thrones,The Ghost of Harrenhal,2012,\N,HBO,8.9,16253,15
tt2084342,tt0944947,2,9,Game of Thrones,Blackwater,2012,\N,HBO,9.7,29577,19
tt2085238,tt0944947,2,6,Game of Thrones,The Old Gods and the New,2012,\N,HBO,9.1,17204,16
tt2085239,tt0944947,2,7,Game of Thrones,A Man Without Honor,2012,\N,HBO,9.0,16660,17
tt2085240,tt0944947,2,8,Game of Thrones,The Prince of Winterfell,2012,\N,HBO,8.9,16388,18
tt2112510,tt0944947,2,10,Game of Thrones,Valar Morghulis,2012,\N,HBO,9.4,20945,20
tt2178772,tt0944947,3,2,Game of Thrones,"Dark Wings, Dark Words",2013,\N,HBO,8.7,16274,22
tt2178782,tt0944947,3,1,Game of Thrones,Valar Dohaeris,2013,\N,HBO,8.9,18411,21
tt2178784,tt0944947,3,9,Game of Thrones,The Rains of Castamere,2013,\N,HBO,9.9,67286,29
tt2178788,tt0944947,3,5,Game of Thrones,Kissed by Fire,2013,\N,HBO,9.0,16737,25
tt2178796,tt0944947,3,10,Game of Thrones,Mhysa,2013,\N,HBO,9.2,19023,30
tt2178798,tt0944947,3,4,Game of Thrones,And Now His Watch Is Ended,2013,\N,HBO,9.6,23153,24
tt2178802,tt0944947,3,3,Game of Thrones,Walk of Punishment,2013,\N,HBO,8.9,16573,23
tt2178806,tt0944947,3,8,Game of Thrones,Second Sons,2013,\N,HBO,9.1,16583,28
tt2178812,tt0944947,3,6,Game of Thrones,The Climb,2013,\N,HBO,8.9,16609,26
tt2178814,tt0944947,3,7,Game of Thrones,The Bear and the Maiden Fair,2013,\N,HBO,8.8,16041,27
tt2816136,tt0944947,4,1,Game of Thrones,Two Swords,2014,\N,HBO,9.1,22830,31
tt2832378,tt0944947,4,2,Game of Thrones,The Lion and the Rose,2014,\N,HBO,9.7,37077,32
tt2972426,tt0944947,4,3,Game of Thrones,Breaker of Chains,2014,\N,HBO,8.9,18517,33
tt2972428,tt0944947,4,4,Game of Thrones,Oathkeeper,2014,\N,HBO,8.9,17646,34
tt3060782,tt0944947,4,8,Game of Thrones,The Mountain and the Viper,2014,\N,HBO,9.7,35844,38
tt3060856,tt0944947,4,5,Game of Thrones,First of His Name,2014,\N,HBO,8.8,16998,35
tt3060858,tt0944947,4,9,Game of Thrones,The Watchers on the Wall,2014,\N,HBO,9.6,29363,39
tt3060860,tt0944947,4,10,Game of Thrones,The Children,2014,\N,HBO,9.7,29284,40
tt3060876,tt0944947,4,7,Game of Thrones,Mockingbird,2014,\N,HBO,9.2,19176,37
tt3060910,tt0944947,4,6,Game of Thrones,The Laws of Gods and Men,2014,\N,HBO,9.7,32257,36
tt3658012,tt0944947,5,1,Game of Thrones,The Wars to Come,2015,\N,HBO,8.6,19846,41
tt3658014,tt0944947,6,1,Game of Thrones,The Red Woman,2016,\N,HBO,8.6,28624,51
tt3846626,tt0944947,5,2,Game of Thrones,The House of Black and White,2015,\N,HBO,8.6,16809,42
tt3866826,tt0944947,5,9,Game of Thrones,The Dance of Dragons,2015,\N,HBO,9.5,30134,49
tt3866836,tt0944947,5,3,Game of Thrones,High Sparrow,2015,\N,HBO,8.7,16122,43
tt3866838,tt0944947,5,4,Game of Thrones,Sons of the Harpy,2015,\N,HBO,8.8,16735,44
tt3866840,tt0944947,5,5,Game of Thrones,Kill the Boy,2015,\N,HBO,8.7,16956,45
tt3866842,tt0944947,5,6,Game of Thrones,"Unbowed, Unbent, Unbroken",2015,\N,HBO,8.1,19286,46
tt3866846,tt0944947,5,7,Game of Thrones,The Gift,2015,\N,HBO,9.1,19061,47
tt3866850,tt0944947,5,8,Game of Thrones,Hardhome,2015,\N,HBO,9.9,70388,48
tt3866862,tt0944947,5,10,Game of Thrones,Mother's Mercy,2015,\N,HBO,9.0,29280,50
tt4077554,tt0944947,6,2,Game of Thrones,Home,2016,\N,HBO,9.5,34674,52
tt4131606,tt0944947,6,3,Game of Thrones,Oathbreaker,2016,\N,HBO,8.8,22881,53
tt4283016,tt0944947,6,4,Game of Thrones,Book of the Stranger,2016,\N,HBO,9.2,25046,54
tt4283028,tt0944947,6,5,Game of Thrones,The Door,2016,\N,HBO,9.7,51020,55
tt4283054,tt0944947,6,6,Game of Thrones,Blood of My Blood,2016,\N,HBO,8.5,22696,56
tt4283060,tt0944947,6,7,Game of Thrones,The Broken Man,2016,\N,HBO,8.7,21909,57
tt4283074,tt0944947,6,8,Game of Thrones,No One,2016,\N,HBO,8.4,25517,58
tt4283088,tt0944947,6,9,Game of Thrones,Battle of the Bastards,2016,\N,HBO,9.9,157558,59
tt4283094,tt0944947,6,10,Game of Thrones,The Winds of Winter,2016,\N,HBO,9.9,108244,60
tt5654088,tt0944947,7,1,Game of Thrones,Dragonstone,2017,\N,HBO,8.7,36122,61
tt5655178,tt0944947,7,2,Game of Thrones,Stormborn,2017,\N,HBO,9.0,30107,62
tt5775840,tt0944947,7,3,Game of Thrones,The Queen's Justice,2017,\N,HBO,9.3,31242,63
tt5775846,tt0944947,7,4,Game of Thrones,The Spoils of War,2017,\N,HBO,9.8,63351,64
tt5775854,tt0944947,7,5,Game of Thrones,Eastwatch,2017,\N,HBO,9.0,29305,65
tt5775864,tt0944947,7,6,Game of Thrones,Beyond the Wall,2017,\N,HBO,9.2,43516,66
tt5775874,tt0944947,7,7,Game of Thrones,The Dragon and the Wolf,2017,\N,HBO,9.6,41673,67
tt0705223,tt0141842,1,2,The Sopranos,46 Long,1999,\N,HBO,8.6,2979,2
tt0705224,tt0141842,1,10,The Sopranos,A Hit Is a Hit,1999,\N,HBO,8.3,2426,10
tt0705225,tt0141842,5,13,The Sopranos,All Due Respect,2004,\N,HBO,9.1,2034,65
tt0705226,tt0141842,5,4,The Sopranos,All Happy Families,2004,\N,HBO,8.6,1759,56
tt0705227,tt0141842,3,12,The Sopranos,Amour Fou,2001,\N,HBO,9.1,2146,38
tt0705228,tt0141842,3,5,The Sopranos,Another Toothpick,2001,\N,HBO,8.7,2012,31
tt0705229,tt0141842,3,13,The Sopranos,Army of One,2001,\N,HBO,9.0,2099,39
tt0705230,tt0141842,2,5,The Sopranos,Big Girls Don't Cry,2000,\N,HBO,8.7,2134,18
tt0705231,tt0141842,1,9,The Sopranos,Boca,1999,\N,HBO,8.7,2462,9
tt0705232,tt0141842,2,10,The Sopranos,Bust-Out,2000,\N,HBO,8.7,2023,23
tt0705233,tt0141842,4,11,The Sopranos,Calling All Cars,2002,\N,HBO,8.1,1779,50
tt0705234,tt0141842,4,3,The Sopranos,Christopher,2002,\N,HBO,8.0,1932,42
tt0705235,tt0141842,5,10,The Sopranos,Cold Cuts,2004,\N,HBO,8.7,1805,62
tt0705236,tt0141842,1,5,The Sopranos,College,1999,\N,HBO,8.9,3086,5
tt0705237,tt0141842,2,4,The Sopranos,Commendatori,2000,\N,HBO,8.7,2323,17
tt0705238,tt0141842,2,7,The Sopranos,D-Girl,2000,\N,HBO,8.7,2260,20
tt0705239,tt0141842,1,3,The Sopranos,"Denial, Anger, Acceptance",1999,\N,HBO,8.8,2884,3
tt0705240,tt0141842,2,2,The Sopranos,Do Not Resuscitate,2000,\N,HBO,8.4,2158,15
tt0705241,tt0141842,1,7,The Sopranos,Down Neck,1999,\N,HBO,8.6,2466,7
tt0705242,tt0141842,4,12,The Sopranos,Eloise,2002,\N,HBO,8.3,1775,51
tt0705243,tt0141842,3,4,The Sopranos,Employee of the Month,2001,\N,HBO,9.0,2310,30
tt0705244,tt0141842,4,6,The Sopranos,Everybody Hurts,2002,\N,HBO,8.3,1873,45
tt0705245,tt0141842,4,1,The Sopranos,For All Debts Public and Private,2002,\N,HBO,8.3,1916,40
tt0705246,tt0141842,3,3,The Sopranos,Fortunate Son,2001,\N,HBO,8.6,1973,29
tt0705247,tt0141842,2,9,The Sopranos,From Where to Eternity,2000,\N,HBO,8.8,2140,22
tt0705248,tt0141842,2,8,The Sopranos,Full Leather Jacket,2000,\N,HBO,8.9,2175,21
tt0705249,tt0141842,2,13,The Sopranos,Funhouse,2000,\N,HBO,9.3,2717,26
tt0705250,tt0141842,2,1,The Sopranos,Guy Walks Into a Psychiatrist's Office,2000,\N,HBO,8.5,2274,14
tt0705251,tt0141842,3,8,The Sopranos,He Is Risen,2001,\N,HBO,8.5,1907,34
tt0705252,tt0141842,2,11,The Sopranos,House Arrest,2000,\N,HBO,8.4,1996,24
tt0705253,tt0141842,1,13,The Sopranos,I Dream of Jeannie Cusamano,1999,\N,HBO,9.1,2597,13
tt0705254,tt0141842,5,7,The Sopranos,In Camelot,2004,\N,HBO,8.3,1805,59
tt0705255,tt0141842,5,5,The Sopranos,Irregular Around the Margins,2004,\N,HBO,9.1,2066,57
tt0705256,tt0141842,1,12,The Sopranos,Isabella,1999,\N,HBO,9.0,2638,12
tt0705257,tt0141842,6,8,The Sopranos,Johnny Cakes,2006,\N,HBO,8.4,1774,73
tt0705258,tt0141842,6,2,The Sopranos,Join the Club,2006,\N,HBO,8.6,2032,67
tt0705259,tt0141842,6,6,The Sopranos,Live Free or Die,2006,\N,HBO,8.6,1745,71
tt0705260,tt0141842,5,12,The Sopranos,Long Term Parking,2004,\N,HBO,9.5,2729,64
tt0705261,tt0141842,6,7,The Sopranos,Luxury Lounge,2006,\N,HBO,8.4,1798,72
tt0705262,tt0141842,5,8,The Sopranos,Marco Polo,2004,\N,HBO,8.7,1828,60
tt0705263,tt0141842,1,4,The Sopranos,Meadowlands,1999,\N,HBO,8.8,2739,4
tt0705264,tt0141842,6,1,The Sopranos,Members Only,2006,\N,HBO,9.1,2123,66
tt0705265,tt0141842,4,8,The Sopranos,Mergers and Acquisitions,2002,\N,HBO,8.2,1800,47
