tconst,parentTconst,seasonNumber,episodeNumber,TV-show,primaryTitle_y,startYear,endYear,channel,averageRating,numVotes
tt3957774,tt3398228,1,1,BoJack Horseman,"BoJack Horseman: The BoJack Horseman Story, Chapter One",2014,\N,Netflix,7.1,2215
tt3978916,tt3398228,1,5,BoJack Horseman,"Live Fast, Diane Nguyen",2014,\N,Netflix,7.4,1545
tt3978918,tt3398228,1,6,BoJack Horseman,Our A-Story Is a 'D' Story,2014,\N,Netflix,7.9,1579
tt3978922,tt3398228,1,8,BoJack Horseman,The Telescope,2014,\N,Netflix,8.1,1808
tt3978928,tt3398228,1,9,BoJack Horseman,Horse Majeure,2014,\N,Netflix,7.9,1478
tt3978930,tt3398228,1,10,BoJack Horseman,One Trick Pony,2014,\N,Netflix,7.8,1456
tt3978932,tt3398228,1,11,BoJack Horseman,Downer Ending,2014,\N,Netflix,8.5,2495
tt3978934,tt3398228,1,12,BoJack Horseman,Later,2014,\N,Netflix,8.1,1701
tt3980964,tt3398228,1,4,BoJack Horseman,Zoës and Zeldas,2014,\N,Netflix,7.4,1611
tt3981116,tt3398228,1,3,BoJack Horseman,Prickly Muffin,2014,\N,Netflix,7.4,1714
tt3981398,tt3398228,1,7,BoJack Horseman,Say Anything,2014,\N,Netflix,8.0,1580
tt3982374,tt3398228,1,2,BoJack Horseman,BoJack Hates the Troops,2014,\N,Netflix,7.7,1902
tt4294938,tt3398228,2,0,BoJack Horseman,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2014,\N,Netflix,7.1,1143
tt4311472,tt3398228,2,1,BoJack Horseman,Brand New Couch,2015,\N,Netflix,8.0,1492
tt4835722,tt3398228,2,2,BoJack Horseman,Yesterdayland,2015,\N,Netflix,7.9,1385
tt4835724,tt3398228,2,3,BoJack Horseman,Still Broken,2015,\N,Netflix,7.9,1364
tt4835728,tt3398228,2,5,BoJack Horseman,Chickens,2015,\N,Netflix,8.0,1450
tt4835730,tt3398228,2,4,BoJack Horseman,After the Party,2015,\N,Netflix,8.0,1376
tt4835732,tt3398228,2,6,BoJack Horseman,Higher Love,2015,\N,Netflix,7.7,1279
tt4835736,tt3398228,2,8,BoJack Horseman,Let's Find Out,2015,\N,Netflix,8.1,1804
tt4835738,tt3398228,2,7,BoJack Horseman,Hank After Dark,2015,\N,Netflix,8.1,1452
tt4835740,tt3398228,2,9,BoJack Horseman,The Shot,2015,\N,Netflix,8.1,1388
tt4835746,tt3398228,2,10,BoJack Horseman,Yes And,2015,\N,Netflix,8.1,1489
tt4835748,tt3398228,2,11,BoJack Horseman,Escape from L.A.,2015,\N,Netflix,8.7,2532
tt4835752,tt3398228,2,12,BoJack Horseman,Out to Sea,2015,\N,Netflix,8.1,1556
tt4896050,tt3398228,3,1,BoJack Horseman,Start Spreading the News,2016,\N,Netflix,7.9,1268
tt5113952,tt3398228,3,6,BoJack Horseman,Brrap Brrap Pew Pew,2016,\N,Netflix,8.0,1421
tt5218276,tt3398228,3,2,BoJack Horseman,The BoJack Horseman Show,2016,\N,Netflix,8.0,1354
tt5218432,tt3398228,3,3,BoJack Horseman,BoJack Kills,2016,\N,Netflix,7.4,1238
tt5218434,tt3398228,3,4,BoJack Horseman,Fish Out of Water,2016,\N,Netflix,9.1,4263
tt5218444,tt3398228,3,5,BoJack Horseman,Love And/Or Marriage,2016,\N,Netflix,8.1,1312
tt5218452,tt3398228,3,7,BoJack Horseman,Stop the Presses,2016,\N,Netflix,8.1,1332
tt5218464,tt3398228,3,8,BoJack Horseman,Old Acquaintance,2016,\N,Netflix,7.9,1179
tt5218468,tt3398228,3,9,BoJack Horseman,Best Thing That Ever Happened,2016,\N,Netflix,8.1,1379
